description,category
Foul smell coming from underground sewerage system.,Sewerage Department
Current fluctuation damaging home appliances.,Electric Department
Pipeline leakage near valve leading to water loss.,Water Supply Department
Road damaged badly due to heavy traffic and rain.,Road Department
"Road full of potholes, needs immediate repair.",Road Department
Blocked  sewer  line  needs  urgent  cleaning.,Sewerage Department
Potholes on main road causing accidents during rain. please resolve this issue soon.,Road Department
"House foundation damaged, wall tilting slightly.",Building Department
"plaster peeling from walls, building looks unsafe.",Building Department
Cracks have appeared on the wall of the community building.,Building Department
Waste dumped openly on roadside attracting animals.,Sanitation Department
Potholes filled with water causing vehicle skidding. please resolve this issue soon.,Road Department
Power  supply  interrupted  due  to  damaged  electric  pole.,Electric Department
"Open  manhole  near  park,  dangerous  for  children. please resolve this issue soon.",Sewerage Department
"Old flat wall plaster has fallen off, unsafe for residents.",Building Department
"No electricity since last night, transformer seems burnt.",Electric Department
Water  supply  disrupted  due  to  pump  malfunction.,Water Supply Department
Waste dumped openly on roadside attracting animals.,Sanitation Department
damaged  footpath  blocking  safe  walking  area.,Road Department
Foul smell coming from underground sewerage system.,Sewerage Department
Potholes filled with water causing vehicle skidding. please resolve this issue soon.,Road Department
"Overflowing bins near market area, needs cleaning. please resolve this issue soon.",Sanitation Department
current fluctuation damaging home appliances.,Electric Department
There is a power outage in our area since morning.,Electric Department
water pipeline burst near main road causing wastage.,Water Supply Department
Sewage leaking from pipeline near footpath.,Sewerage Department
"Road full of potholes, needs immediate repair. please resolve this issue soon.",Road Department
The roof of the building is leaking during rainfall. please resolve this issue soon.,Building Department
Road repair work incomplete for several weeks.,Road Department
Potholes on main road causing accidents during rain.,Road Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
"Sewerage water mixing with rainwater, causing pollution. please resolve this issue soon.",Sewerage Department
Power supply interrupted due to damaged electric pole.,Electric Department
"Open manhole near park, dangerous for children.",Sewerage Department
"Building wall broken after storm, debris blocking entrance.",Building Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
Power supply interrupted due to damaged electric pole.,Electric Department
The ceiling in our apartment is about to collapse.,Building Department
Water pipeline burst near main road causing wastage.,Water Supply Department
No water in tank even after scheduled supply time.,Water Supply Department
The garbage truck hasn’t come for three days.,Sanitation Department
"Building structure fine, no cracks visible.",Building Department
holes on road making it dangerous for vehicles.,Road Department
Sewage backflow inside homes during rainfall.,Sewerage Department
"Sewerage water mixing with rainwater, causing pollution.",Sewerage Department
Sewage  backflow  inside  homes  during  rainfall.,Sewerage Department
Blocked sewer line needs urgent cleaning.,Sewerage Department
pipeline leakage near valve leading to water loss.,Water Supply Department
"No electricity since last night, transformer seems burnt.",Electric Department
"Sewerage water mixing with rainwater, causing pollution.",Sewerage Department
No water in tank even after scheduled supply time.,Water Supply Department
"Drinking water contaminated, smells bad. please resolve this issue soon.",Water Supply Department
There is a power outage in our area since morning.,Electric Department
Building structure showing deep cracks after heavy rain.,Building Department
"Drinking water contaminated, smells bad.",Water Supply Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
the drainage is overflowing due to heavy rain.,Sanitation Department
power supply interrupted due to damaged electric pole.,Electric Department
electric wires snapped and lying on the road.,Electric Department
"Building wall broken after storm, debris blocking entrance.",Building Department
"Road full of potholes, needs immediate repair.",Road Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
Road repair work incomplete for several weeks.,Road Department
Sewer pipeline damaged causing leakages.,Sewerage Department
No water supply in the colony since morning.,Water Supply Department
